StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q4,Q6,Q7,Q8,Q9,Q9_14_TEXT,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24,Q25_1,Q26,Q27,Q28,Q29,Q24 - Parent Topics,Q24 - Topics,Q9_14_TEXT - Parent Topics,Q9_14_TEXT - Topics,Q_UnansweredPercentage,Q_UnansweredQuestions,Q24 - Topic Hierarchy Level 1,Q9_14_TEXT - Topic Hierarchy Level 1
2025-03-27 07:16:56,2025-03-27 07:21:16,IP Address,59.188.118.141,100,260,True,2025-03-27 07:21:17,R_9Z4fviBXVZJdPhv,,,,,22.2848,114.1703,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Student,,Not very knowledgeable,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,3,4,6,5,2,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",Yes,7,No,Maybe,Maybe,,7,"Educational information,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 07:31:07,2025-03-27 07:37:18,IP Address,5.104.127.8,100,371,True,2025-03-27 07:37:19,R_2F8nk0ip2ftzPrq,,,,,51.8883,4.4825,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Somewhat knowledgeable,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",4,3,1,6,5,2,Very little,"Social media,Word of mouth,I don’t usually seek out this information",No,5,No,Maybe,Maybe,,7,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 07:57:44,2025-03-27 08:00:15,IP Address,213.55.186.60,100,151,True,2025-03-27 08:00:16,R_2BaLaNEtkED6Hk4,,,,,47.3779,8.5236,anonymous,EN,0.699999988079071,,Yes,25 - 34,Belgium,Bachelor’s degree,Urban,Tourism and Hospitality,,Neutral,Somewhat serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,2,3,4,5,6,Somewhat,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,6,Yes,Yes,"Yes, definitely",,6,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Personalized content (AI-agent),Resources on initiatives you can implement yourself",Yes,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:12:13,2025-03-27 08:15:02,IP Address,2.101.159.177,100,169,True,2025-03-27 08:15:03,R_2fQbJr4prvp1clX,,,,,52.4867,-1.8989,anonymous,EN,0.800000011920929,,Yes,25 - 34,United Kingdom of Great Britain and Northern Ireland,Master’s degree or higher,Rural,Healthcare,,Not knowledgeable at all,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.,It has no significant impact on human health or the environment.",3,6,4,1,5,2,Not at all,"Social media,News websites",Yes,0,No,No,"No, not interested",,1,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Personalized content (AI-agent),Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",No,No,"Health and Safety,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:05:54,2025-03-27 08:24:30,IP Address,82.214.166.94,100,1115,True,2025-03-27 08:24:30,R_2LaMV5bOrAAALPJ,,,,,52.232,20.9944,anonymous,EN,0.8999999761581421,,Yes,Under 18,Poland,Secondary education,Rural,Science,,Neutral,Somewhat serious,"No, I am aware of nothing related to water in my city.",3.6 billion,It can disrupt aquatic ecosystems and harm marine life.,2,6,5,4,1,3,Very little,"Social media,TV/radio",No,3,No,Maybe,Maybe,,4,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,"Global Climate Change,Personal interest/hobby",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:21:42,2025-03-27 08:26:28,IP Address,84.57.74.212,100,286,True,2025-03-27 08:26:29,R_3hcxHuFy61Datj3,,,,,52.0374,8.5281,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Not very serious,"Yes, I am slightly aware.",4.4 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,5,6,1,2,4,Very little,I don’t usually seek out this information,No,3,No,Yes,Maybe,,2,"Interactive maps,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally",No,No,Health and Safety,,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:22:17,2025-03-27 08:26:48,IP Address,149.140.251.99,100,270,True,2025-03-27 08:26:49,R_5E64peAef4l6jkd,,,,,41.0329,28.9529,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Turkey,Bachelor’s degree,Urban,Education,,Somewhat knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,It can disrupt aquatic ecosystems and harm marine life.,1,2,3,4,5,6,Somewhat,Social media,Yes,6,No,Maybe,Maybe,,6,"Educational information,Visualizations of up-to-date water quality data of your city,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:50:01,2025-03-27 08:56:16,IP Address,89.205.136.24,100,375,True,2025-03-27 08:56:17,R_8kYPLEHWbq2BxnK,,,,,52.3664,4.8496,anonymous,EN,0.8999999761581421,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Student,,Not very knowledgeable,Not very serious,"No, I am aware of nothing related to water in my city.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,5,4,3,6,1,Very little,"Social media,Word of mouth",No,4,No,Yes,Maybe,What you can do in the individual household or about waterfilters,3,"Interactive maps,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",No,No,"Concern for future generations,Health and Safety,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 08:58:20,2025-03-27 09:02:58,IP Address,145.109.69.145,100,278,True,2025-03-27 09:02:59,R_7tKvIjwXcJaDJvj,,,,,52.3543,4.8951,anonymous,EN,0.800000011920929,,Yes,35 - 44,Netherlands,Master’s degree or higher,Urban,Education,,Somewhat knowledgeable,"Yes, very serious","Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,5,1,3,6,Somewhat,"Social media,News websites",Yes,7,Yes,Yes,"Yes, definitely",,9,"Interactive maps,Visualizations of up-to-date water quality data of your city",No,No,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 09:08:11,2025-03-27 09:15:34,IP Address,145.102.241.162,100,443,True,2025-03-27 09:15:34,R_3iz44EmKzAjwpPy,,,,,52.3672,4.918,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,"Yes, very serious","Yes, I am slightly aware.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",5,4,6,1,3,2,Somewhat,"Social media,News websites",No,7,Yes,Yes,"Yes, definitely",,6,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Yes,"Concern for future generations,Health and Safety,Local impact,Global Climate Change,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 08:58:43,2025-03-27 09:19:50,IP Address,31.201.188.65,100,1267,True,2025-03-27 09:19:51,R_6zMrXF8HAHCTcvn,,,,,52.0775,5.0599,anonymous,EN,1,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Education,,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,5,3,1,6,Very little,"Social media,News websites,Word of mouth",No,6,No,Maybe,Maybe,"I'd be interested in the extent to which the water quality in Dutch cities depends on what we do here vs 'what happens upstream' before. And, related, in collaboration across borders/regions",3,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,Unknown,,,0.038461538461538464,QID1,,
2025-03-27 09:16:50,2025-03-27 09:25:42,IP Address,145.3.85.83,100,531,True,2025-03-27 09:25:42,R_2BlnaYYFGwI4PcZ,,,,,52.3179,4.9521,anonymous,EN,1,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,ICT,,Neutral,Somewhat serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,2,6,3,5,Very little,"Social media,News websites,Word of mouth",Yes,4,No,Yes,"Yes, definitely",,5,"Interactive maps,Educational information,Visualizations of up-to-date water quality data of your city",Maybe,Maybe,"Concern for future generations,Health and Safety,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 09:25:36,2025-03-27 09:29:26,IP Address,14.0.230.225,100,229,True,2025-03-27 09:29:26,R_89NI8tGaem5pKPT,,,,,22.2578,114.1657,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Hong Kong (S.A.R.),Bachelor’s degree,Urban,Student,,Neutral,Not very serious,"Yes, I am slightly aware.",1.5 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,5,2,6,3,4,Very little,News websites,No,4,No,Yes,Maybe,,7,"Educational information,Forums for public discussion,Resources on initiatives you can implement yourself",Yes,Yes,"Health and Safety,Local impact",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 09:13:03,2025-03-27 09:31:10,IP Address,213.124.221.2,100,1087,True,2025-03-27 09:31:10,R_2KDaSiMpetrEjPr,,,,,52.3672,4.918,anonymous,EN,0.8999999761581421,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Neutral,Neutral/ Unsure,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,5,4,6,2,1,Very little,"Social media,Word of mouth",No,7,No,Yes,"Yes, definitely",,6,Interactive maps,Yes,Yes,"Local impact,Personal interest/hobby,Community involvement",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 09:50:56,2025-03-27 09:54:46,IP Address,5.173.82.6,100,229,True,2025-03-27 09:54:46,R_8ffIdnXU73tFKy1,,,,,50.0598,19.9413,anonymous,EN,0.699999988079071,,Yes,18 - 24,Poland,Bachelor’s degree,Urban,ICT,,Somewhat knowledgeable,Not serious at all,"Yes, I am partially aware (of the state of the water quality and/or how it is managed)",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,5,6,3,2,Not at all,I don’t usually seek out this information,No,2,No,Maybe,"No, not interested",,1,"Interactive maps,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally",No,No,,,,,,0.11538461538461539,"QID1,QID24,QID29",,
2025-03-27 09:53:04,2025-03-27 09:57:06,IP Address,83.139.75.148,100,242,True,2025-03-27 09:57:07,R_8QE8rhaBm8GYcSQ,,,,,45.1577,18.0092,anonymous,EN,0.800000011920929,,Yes,25 - 34,Croatia,Master’s degree or higher,Urban,Student,,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",4.4 billion,I am unsure.,3,5,2,6,4,1,Not at all,Social media,No,2,No,No,"No, not interested",,,Visualizations of up-to-date water quality data of your city,No,No,"Local impact,Personal interest/hobby",,,,,0.11538461538461539,"QID1,QID24,QID25",,
2025-03-27 09:58:56,2025-03-27 10:04:04,IP Address,62.194.32.226,100,308,True,2025-03-27 10:04:05,R_2EbguhH93t18dom,,,,,52.364,4.8913,anonymous,EN,0.699999988079071,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Finance and Commerce,,Neutral,Not very serious,"Yes, I am slightly aware.",2.2 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",2,4,6,1,3,5,Somewhat,"Social media,News websites,TV/radio,Word of mouth",Yes,6,No,Yes,"Yes, definitely",,6,"Interactive maps,Educational information,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,Maybe,"Concern for future generations,Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 10:14:43,2025-03-27 10:19:37,IP Address,193.142.201.90,100,294,True,2025-03-27 10:19:38,R_5PLcYmMZIwSKa0Q,,,,,52.3759,4.8975,anonymous,EN,0.800000011920929,,Yes,25 - 34,Netherlands,Master’s degree or higher,Urban,Healthcare,,Neutral,Not very serious,"No, I am aware of nothing related to water in my city.",3.6 billion,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",1,4,2,3,6,5,Very little,Social media,No,7,No,Maybe,Maybe,,8,"Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Tools to report or monitor water issues locally,Resources on initiatives you can implement yourself",Maybe,No,"Concern for future generations,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
2025-03-27 10:17:30,2025-03-27 10:22:24,IP Address,213.93.228.40,100,294,True,2025-03-27 10:22:25,R_1XOvDfdqyuZ7Rqp,,,,,52.3672,4.918,anonymous,EN,0.800000011920929,,Yes,18 - 24,Netherlands,Bachelor’s degree,Urban,Student,,Not very knowledgeable,Neutral/ Unsure,"Yes, I am slightly aware.",800 million,"It can lead to waterborne disease such as cholera and dysentery.,It can disrupt aquatic ecosystems and harm marine life.",3,1,5,6,4,2,Very little,"Social media,News websites,TV/radio,Word of mouth,Educational platforms",No,5,No,Maybe,"Yes, definitely",,4,"Interactive maps,Forums for public discussion,Visualizations of up-to-date water quality data of your city,Visualisations of up-to-date water quality data globally,Resources on initiatives you can implement yourself",Maybe,Yes,"Health and Safety,Local impact,Global Climate Change",,,,,0.07692307692307693,"QID1,QID24",,
